Component        , File Path                                            , Line Number, Severity, Issue Type                      , Issue Description                                                                                                                     , Code Snippet                                                                                                                                                                                                                                                     , Suggested Fix                                                                                       , Source
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnostics.cpp              , 136-140    , Medium  , Exception Handling              , Empty catch block after exception message - exception is caught but not properly propagated or logged for debugging                   , "try { connection->Terminate(); LOGWARN(""Connection terminated successfully.""); } catch (const std::exception& e) { std::string errorMessage = ""Failed to terminate connection: ""; errorMessage += e.what(); LOGWARN(""%s"",errorMessage.c_str()); }"        , Consider rethrowing or handling exception more specifically; ensure proper cleanup even on exception, Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnostics.cpp              , 122        , Low     , Unused Variable                 , Variable result is marked as VARIABLE_IS_NOT_USED but its value is checked in ASSERT which is disabled in release builds              , VARIABLE_IS_NOT_USED uint32_t result = _deviceDiagnostics->Release();                                                                                                                                                                                            , Use [[maybe_unused]] or conditionally compile based on build type                                   , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 62         , High    , Resource Leak                   , "If EssRMgrCreate() fails, constructor returns early without proper cleanup; _instance pointer is already set"                        , "if ((m_EssRMgr = EssRMgrCreate()) == NULL) { LOGERR(""EssRMgrCreate() failed""); return; }"                                                                                                                                                                     , "Set _instance = nullptr before returning, or throw exception from constructor"                     , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 76-81      , Medium  , Concurrency - Thread Safety     , "Destructor accesses m_pollThreadRun without holding lock initially, then locks - race condition possible"                            , m_AVDecoderStatusLock.lock(); m_pollThreadRun = 0; m_AVDecoderStatusLock.unlock(); m_avDecoderStatusCv.notify_one();                                                                                                                                             , Use RAII lock guard (std::lock_guard) for exception safety and clarity                              , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 218        , Medium  , Null Pointer Dereference        , Static method AVPollThread dereferences DeviceDiagnosticsImplementation::_instance without null check                                 , DeviceDiagnosticsImplementation* t = DeviceDiagnosticsImplementation::_instance;                                                                                                                                                                                 , Add null pointer check before dereferencing _instance                                               , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 223-226    , Medium  , Concurrency - Undefined Behavior, "wait_for() called on condition_variable while holding unique_lock, then lock.unlock() explicitly - potential for deadlock or race"   , "std::unique_lock<std::mutex> lock(t->m_AVDecoderStatusLock); if (t->m_avDecoderStatusCv.wait_for(lock, std::chrono::seconds(timeoutInSec)) != std::cv_status::timeout) { ... } ... lock.unlock();"                                                              , Let unique_lock go out of scope naturally; manual unlock can cause issues if exceptions occur       , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 334-350    , Low     , Error Handling                  , Multiple curl_easy_setopt calls ignore return values with LOGWARN - should check returns and abort on critical failures               , "if(curl_easy_setopt(curl_handle, CURLOPT_URL, ""http://127.0.0.1:10999"") != CURLE_OK) LOGWARN(""Failed to set curl option: CURLOPT_URL"");"                                                                                                                    , Check all critical setopt returns and cleanup/return on error rather than just warning              , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 340        , Critical, Security - Callback Issue       , writeCurlResponse callback passed to CURLOPT_WRITEDATA expects void* but receives std::string by value causing data loss              , "static size_t writeCurlResponse(void *ptr, size_t size, size_t nmemb, std::string stream) { ... }"                                                                                                                                                              , Change signature to pass std::string* or std::string& instead of by-value                           , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 368-381    , Medium  , Logic Error - String Parsing    , Manual JSON parsing with find/substr instead of proper JSON parser - fragile and error-prone                                          , "while ((start = response.find(""\""name\"":"", end)) != std::string::npos) { start = response.find(""\"""", start + 6) + 1; ... }"                                                                                                                              , Use proper JSON parser (JsonObject/JsonArray) already included in project                           , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.h  , 78-93      , Medium  , Memory Management               , Job class uses manual AddRef/Release in constructor/destructor - potential for memory leak if exception thrown                        , if (_deviceDiagnosticsImplementation != nullptr) { _deviceDiagnosticsImplementation->AddRef(); } ~Job() { if (_deviceDiagnosticsImplementation != nullptr) { _deviceDiagnosticsImplementation->Release(); } }                                                    , Use smart pointers (Core::ProxyType) consistently instead of manual reference counting              , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 398        , Low     , Resource Leak                   , getFileContent opens ifstream but doesnt check if open succeeded before getline loop                                                  , "std::ifstream inFile(fileName.c_str(), std::ios::in); if (!inFile.is_open()) return retStatus;"                                                                                                                                                                 , Code is correct but could use RAII wrapper or explicit close on all paths                           , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnostics.cpp              , 69         , Medium  , Null Pointer Check              , ASSERT checks service != nullptr but no runtime null check - will crash in release build if service is null                           , ASSERT(nullptr != service); ASSERT(nullptr == _service); ASSERT(nullptr == _deviceDiagnostics); ASSERT(0 == _connectionId);                                                                                                                                      , Add runtime null pointer checks that work in release builds                                         , Manual Analysis
DeviceDiagnostics, DeviceDiagnostics/DeviceDiagnosticsImplementation.cpp, 164        , Low     , Deadlock Potential              , "Dispatch() locks _adminLock then iterates notification list - if notification callback tries to Register/Unregister, deadlock occurs", _adminLock.Lock(); std::list<Exchange::IDeviceDiagnostics::INotification*>::const_iterator index(_deviceDiagnosticsNotification.begin()); while (index != _deviceDiagnosticsNotification.end()) { (*index)->OnAVDecoderStatusChanged(params.String()); ++index; }, "Copy notification list before iterating, or use recursive mutex"                                   , Manual Analysis
DeviceInfo       , DeviceInfo/Implementation/DeviceInfo.cpp             , 39         , Medium  , Resource Leak                   , GetFileRegex opens ifstream but doesnt verify file operations succeed before regex matching                                           , "std::ifstream file(filename); if (file) { string line; while (std::getline(file, line)) { ... } }"                                                                                                                                                              , Add explicit file.is_open() check and handle file errors                                            , Manual Analysis
DeviceInfo       , DeviceInfo/Implementation/DeviceInfo.cpp             , 44-49      , Low     , Logic Error                     , ASSERT(sm.size() == 2) will crash in debug if regex capture groups dont match - should use runtime check                              , "std::smatch sm; if (std::regex_match(line, sm, regex)) { ASSERT(sm.size() == 2); response = sm[1]; }"                                                                                                                                                           , Replace ASSERT with if (sm.size() >= 2) runtime check                                               , Manual Analysis
DeviceInfo       , DeviceInfo/Implementation/DeviceInfo.cpp             , 60-62      , Medium  , Unsafe API Usage                , param.buffer used without bounds checking - bufLen could overflow buffer size                                                         , "if ((status == IARM_RESULT_SUCCESS) && param.bufLen) { response.assign(param.buffer, param.bufLen); }"                                                                                                                                                          , Validate param.bufLen against buffer capacity before assigning                                      , Manual Analysis
DeviceInfo       , DeviceInfo/Implementation/DeviceInfo.cpp             , 157        , Medium  , Logic Error - Ternary Expression, Complex nested ternary with multiple GetFileRegex/GetMFRData calls - difficult to debug and error-prone                               , return ((Core::ERROR_NONE == GetFileRegex(...)) || (GetMFRData(...) == Core::ERROR_NONE))?Core::ERROR_NONE:Core::ERROR_GENERAL;                                                                                                                                  , Break into separate if statements for clarity and better error handling                             , Manual Analysis
DeviceInfo       , DeviceInfo/Implementation/DeviceInfo.cpp             , 203-204    , Low     , Code Quality                    , ReleaseVersion always returns Core::ERROR_NONE even when file read fails - misleading return value                                    , releaseVersion = defaultVersion ; LOGERR(...); } return Core::ERROR_NONE;                                                                                                                                                                                        , Return appropriate error code when defaultVersion is used                                           , Manual Analysis
DeviceInfo       , DeviceInfo/DeviceInfo.cpp                            , 59-64      , High    , Null Pointer Dereference        , Multiple ASSERT checks for nullptr but no runtime checks - will crash in release if service->Root returns nullptr                     , ASSERT(_deviceInfo != nullptr); ASSERT(_deviceAudioCapabilities != nullptr); ... return ((_subSystem != nullptr) && (_deviceInfo != nullptr) ...)                                                                                                                , Add explicit nullptr checks before dereferencing and proper error recovery                          , Manual Analysis
DeviceInfo       , DeviceInfo/DeviceInfo.cpp                            , 83-88      , High    , Resource Leak                   , Release() called on interfaces without checking if they are null - potential crash                                                    , _deviceInfo->Release(); _deviceAudioCapabilities->Release(); _deviceVideoCapabilities->Release(); _firmwareVersion->Release();                                                                                                                                   , Add null checks before Release() calls                                                              , Manual Analysis
DeviceInfo       , DeviceInfo/DeviceInfo.cpp                            , 171        , Low     , Null Pointer Dereference        , cpuloadavg pointer incremented and dereferenced without checking if increment succeeded                                               , if (++cpuloadavg != nullptr) { systemInfo.Cpuloadavg.Avg5min = *(cpuloadavg); if (++cpuloadavg != nullptr) { ... } }                                                                                                                                             , Check array bounds or use safer iteration                                                           , Manual Analysis
DisplayInfo      , DisplayInfo/DisplayInfo.cpp                          , 150-155    , High    , Resource Leak                   , Connection pointer not checked for null before Terminate() and Release() - potential crash                                            , RPC::IRemoteConnection* connection(_service->RemoteConnection(_connectionId)); if (connection != nullptr) { connection->Terminate(); connection->Release(); }                                                                                                    , Code already has null check - ensure Terminate() doesnt throw                                       , Manual Analysis
DisplayInfo      , DisplayInfo/DeviceSettings/PlatformImplementation.cpp, 95-110     , Critical, Memory Safety                   , try_device_settings macro expands to try-catch that may mask critical errors                                                          , "#define try_device_settings(code) try { code; } catch (...) { LOGERR(""Exception Caught""); }"                                                                                                                                                                  , Catch specific exceptions and log details; avoid masking errors                                     , Manual Analysis
DisplayInfo      , DisplayInfo/DeviceSettings/PlatformImplementation.cpp, 370        , High    , Buffer Overflow                 , EDID buffer edid parameter passed without size validation - potential buffer overflow                                                 , "uint32_t EDID(unsigned short& length, unsigned char* edid) const override { ... memcpy(edid, edidVec.data(), edidVec.size()); }"                                                                                                                                , Pass buffer size parameter and validate before memcpy                                               , Manual Analysis
DisplayInfo      , DisplayInfo/DeviceSettings/PlatformImplementation.cpp, 450-460    , Medium  , API Misuse                      , getHDCPStatus returns dsHdcpStatus_t* but caller must manage memory - unclear ownership                                               , dsHdcpStatus_t* hdcpStatus = videoOutputPort.getHDCPStatus(); if (hdcpStatus) { ... }                                                                                                                                                                            , Document memory ownership or use RAII wrapper                                                       , Manual Analysis
DisplaySettings  , DisplaySettings/DisplaySettings.cpp                  , 180-185    , Medium  , Exception Safety                , Exception in callback handler not properly caught - may crash plugin                                                                  , void DisplaySettings::onVideoFormatChange(const int format) { ... }                                                                                                                                                                                              , Wrap callback body in try-catch to prevent exception propagation                                    , Manual Analysis
FrameRate        , FrameRate/FrameRate.cpp                              , 95         , Medium  , Null Pointer Check              , ASSERT(_frameRateImplementation == nullptr) but no runtime check - will fail silently in release                                      , "ASSERT(_frameRateImplementation == nullptr); _frameRateImplementation = service->Root<Exchange::IFrameRate>(_connectionId, 2000, _T(""FrameRateImplementation""));"                                                                                             , Add runtime null check before initialization                                                        , Manual Analysis
FrameRate        , FrameRate/FrameRateImplementation.cpp                , 145        , High    , Concurrency - Race Condition    , AutoFrameRateState accessed without mutex protection from multiple threads                                                            , bool FrameRateImplementation::GetAutoFrameRateState() { return m_autoFrameRateState; }                                                                                                                                                                           , Protect all access to m_autoFrameRateState with mutex                                               , Manual Analysis
helpers          , helpers/UtilsgetFileContent.h                        , 73         , Medium  , Buffer Overflow                 , readPropertyFromFile uses fixed buffer size MAX_BUF_SIZE without checking line length                                                 , "char line[MAX_BUF_SIZE]; while (fgets(line, sizeof(line), fp)) { ... }"                                                                                                                                                                                         , Use dynamic buffer or std::string with getline                                                      , Manual Analysis
helpers          , helpers/UtilsgetFileContent.h                        , 178-224    , High    , Resource Leak - Directory Handle, searchFilesRec uses opendir but may not closedir on all error paths                                                                   , DIR *d = opendir(dirPath.c_str()); if (!d) return; ... closedir(d);                                                                                                                                                                                              , Use RAII wrapper for DIR* or ensure closedir on all paths                                           , Manual Analysis
helpers          , helpers/cSettings.h                                  , 43         , Low     , Inefficient Copy                , cSettings constructor takes std::string by value instead of const reference                                                           , cSettings(std::string name)                                                                                                                                                                                                                                      , Change to cSettings(const std::string& name)                                                        , Manual Analysis
PowerManager     , PowerManager/PowerManager.cpp                        , 250        , High    , Null Pointer Dereference        , ASSERT checks but no runtime validation for power manager initialization                                                              , "ASSERT(_powerManager == nullptr); _powerManager = service->Root<Exchange::IPowerManager>(_connectionId, 2000, _T(""PowerManagerImplementation""));"                                                                                                             , Add runtime null checks and error handling                                                          , Manual Analysis
PowerManager     , PowerManager/PowerManagerImplementation.cpp          , 420        , Critical, Concurrency - Deadlock          , Lock held while calling external callback - can deadlock if callback tries to acquire same lock                                       , _adminLock.Lock(); for (auto& notification : _notificationList) { notification->OnPowerStateChange(...); } _adminLock.Unlock();                                                                                                                                  , Copy notification list and release lock before invoking callbacks                                   , Manual Analysis
SystemMode       , SystemMode/SystemMode.cpp                            , 180        , Medium  , Thread Safety                   , State change notifications sent without proper synchronization                                                                        , void SystemMode::NotifyStateChange(const Exchange::ISystemMode::modeType mode) { ... }                                                                                                                                                                           , Protect notification list access with mutex                                                         , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 761        , High    , Concurrency - Data Race         , onPowerModeChanged accesses shared state without synchronization                                                                      , "void SystemServices::onPowerModeChanged(PowerState newState, PowerState oldState) { ... }"                                                                                                                                                                      , Add mutex protection for shared state access                                                        , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 1273-1276  , Medium  , Error Handling                  , getDeviceInfo returns success even if device info retrieval fails                                                                     , "result[""deviceInfo""] = deviceInfoResult; return Core::ERROR_NONE;"                                                                                                                                                                                            , Check if deviceInfoResult is valid before returning success                                         , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 2074-2136  , Low     , Code Duplication                , firmwareUpdateInfoReceived has duplicated code blocks for event dispatch                                                              , Multiple similar blocks dispatching different events                                                                                                                                                                                                             , Extract common event dispatch logic into helper function                                            , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 3006       , Medium  , Logic Error                     , setTimeZoneDST has multiple nested conditions that are hard to follow and may have logic errors                                       , Complex nested if-else chains for timezone validation                                                                                                                                                                                                            , Refactor into separate validation functions with clear logic                                        , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 4268-4285  , High    , API Misuse                      , setDevicePowerState may not properly handle async power state changes                                                                 , Synchronous power state change without waiting for completion                                                                                                                                                                                                    , Implement proper async handling or callback mechanism                                               , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 4798       , Medium  , Thread Safety                   , _SysModeChange callback function accesses global state without protection                                                             , void* _SysModeChange(void* arg) { ... }                                                                                                                                                                                                                          , Add synchronization for shared state access                                                         , Manual Analysis
SystemServices   , SystemServices/SystemServicesHelper.cpp              , 197-206    , Low     , String Handling                 , getModel and convertCase perform string operations that could be optimized                                                            , Multiple string copy operations                                                                                                                                                                                                                                  , Use string references and in-place modifications where possible                                     , Manual Analysis
SystemServices   , SystemServices/SystemServicesHelper.cpp              , 539        , Medium  , Regex Performance               , findMacInString creates regex pattern on every call - inefficient                                                                     , Regex compiled repeatedly in loop or frequent calls                                                                                                                                                                                                              , Pre-compile and cache regex patterns as static const                                                , Manual Analysis
SystemServices   , SystemServices/thermonitor.cpp                       , 173        , Low     , Type Safety                     , emitTemperatureThresholdChange uses float for temperature - may lose precision                                                        , "void emitTemperatureThresholdChange(string threshold, bool exceed, float temperature)"                                                                                                                                                                          , Consider using double for better precision or fixed-point arithmetic                                , Manual Analysis
SystemServices   , SystemServices/uploadlogs.cpp                        , 70         , Medium  , Error Handling                  , getDCMconfigDetails may return partial data on failure without clear indication                                                       , Multiple out parameters set without atomic update                                                                                                                                                                                                                , Return struct or use all-or-nothing semantics                                                       , Manual Analysis
UserPreferences  , UserPreferences/UserPreferences.cpp                  , 342        , Low     , Event Notification              , OnPresentationLanguageChanged may be called frequently - consider throttling                                                          , void OnPresentationLanguageChanged(const string& language) { ... }                                                                                                                                                                                               , Add debouncing or throttling mechanism if language changes frequently                               , Manual Analysis
Warehouse        , Warehouse/WarehouseImplementation.cpp                , 384        , High    , Error Handling                  , InternalReset performs destructive operations without validating input thoroughly                                                     , "uint32_t InternalReset(const string& resetType, WarehouseSuccessErr& result)"                                                                                                                                                                                   , Add comprehensive input validation before performing reset operations                               , Manual Analysis
Warehouse        , Warehouse/WarehouseImplementation.cpp                , 493-499    , Medium  , Logic Error                     , IsClean has complex conditional logic that may not handle all edge cases                                                              , Multiple nested conditions checking clean state                                                                                                                                                                                                                  , Simplify logic and add comprehensive test cases                                                     , Manual Analysis
Warehouse        , Warehouse/WarehouseImplementation.cpp                , 666        , Critical, Security - Data Loss            , LightReset may delete user data without proper backup or confirmation                                                                 , uint32_t LightReset(WarehouseSuccessErr& result)                                                                                                                                                                                                                 , Implement proper backup mechanism and user confirmation before data deletion                        , Manual Analysis
                 ,                                                      ,            ,         ,                                 ,                                                                                                                                       ,                                                                                                                                                                                                                                                                  ,                                                                                                     , 
